0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:51 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:51 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:51 +0100] "GET /FXCjeu/images/bg.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:51 +0100] "GET /FXCjeu/images/zelgaoot.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:53 +0100] "GET /FXCjeu/JeuServlet?idJeu=7 HTTP/1.1" 200 7365
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:53 +0100] "GET /FXCjeu/js/move-top.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:53 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:53 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:53 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:53 +0100] "GET /FXCjeu/images/imgTests/7.jpg HTTP/1.1" 200 192073
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:53 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:53 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:01:53 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:02:05 +0100] "GET /FXCjeu/index.jsp HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:02:05 +0100] "GET /FXCjeu/js/move-top.js HTTP/1.1" 404 794
